"","Dish_id","Dish_name","menu_page_id","price","Menu_id","Menupage_id","event","place","physical_description","notes","date","states"
"4800",219,"Boiled potatoes",57935,0.25,29856,57935,"","","33x23cm folded; 33x46cm open","","1947-02-12T00:00:00Z",""
"4801",219,"Boiled potatoes",57989,0.25,29871,57989,"","","29x23.5cm folded; 29x47cm open","","1947-05-01T00:00:00Z",""
"4802",219,"Boiled potatoes",58032,0.25,29881,58032,"","","36x24cm","","1947-07-02T00:00:00Z",""
"4803",219,"Boiled potatoes",58174,NA,29913,58174,"","","28.5x21.5cm folded; 28.5x43cm open","","1949-01-08T00:00:00Z",""
"4804",219,"Boiled potatoes",58176,NA,29913,58176,"","","28.5x21.5cm folded; 28.5x43cm open","","1949-01-08T00:00:00Z",""
"4805",219,"Boiled potatoes",58287,0.2,29937,58287,"","","28x20.5cm folded; 28x40.5cm open","","1949-07-25T00:00:00Z",""
"4806",219,"Boiled potatoes",583,NA,12605,583,"","","","","1900-04-19T00:00:00Z",""
"4807",219,"Boiled potatoes",58347,0.15,29951,58347,"","","35x26cm","","1949-09-27T00:00:00Z",""
"4808",219,"Boiled potatoes",5842,NA,14351,5842,"BREAKFAST","","CARD; ILLUS; COL; 5.5X8;","MENU IN GERMAN AND ENGLISH; ILLUSTRATION OF STEAMER AND CLASSICAL FRIEZE; SET UP FOR USE AS A POSTCARD;","1901-08-30T00:00:00Z",""
"4809",219,"Boiled potatoes",58432,0.3,29973,58432,"","","29.5x20.5cm folded; 29.5x40.5cm open","Luncheon room service menu.","1949-12-27T00:00:00Z",""
"4810",219,"Boiled potatoes",58435,0.3,29974,58435,"","","29.5x20.5cm folded; 29.5x40.5cm open","Dinner room service menu","1949-12-27T00:00:00Z",""
"4811",219,"Boiled potatoes",58438,0.3,29975,58438,"","","29.5x20.5cm folded; 29.5x40.5cm open","Luncheon room service menu.","1949-12-28T00:00:00Z",""
"4812",219,"Boiled potatoes",58441,0.3,29976,58441,"","","29.5x20.5cm folded; 29.5x40.5cm open","Dinner room service menu","1949-12-28T00:00:00Z",""
"4813",219,"Boiled potatoes",58444,0.3,29977,58444,"","","29.5x20.5cm folded; 29.5x40.5cm open","Luncheon room service menu.","1949-12-29T00:00:00Z",""
"4814",219,"Boiled potatoes",58450,0.3,29978,58450,"","","29.5x20.5cm folded; 29.5x40.5cm open","Dinner room service menu","1949-12-29T00:00:00Z",""
"4815",219,"Boiled potatoes",58456,0.3,29979,58456,"","","29.5x20.5cm folded; 29.5x40.5cm open","Luncheon room service menu.","1949-12-30T00:00:00Z",""
"4816",219,"Boiled potatoes",58459,0.3,29980,58459,"","","29.5x20.5cm folded; 29.5x40.5cm open","Dinner room service menu","1949-12-30T00:00:00Z",""
"4817",219,"Boiled potatoes",58462,0.3,29981,58462,"","","29.5x20.5cm folded; 29.5x40.5cm open","Luncheon room service menu.","1949-12-31T00:00:00Z",""
"4818",219,"Boiled potatoes",58465,0.3,29982,58465,"","","29.5x20.5cm folded; 29.5x40.5cm open","Dinner room service menu","1949-12-31T00:00:00Z",""
"4819",219,"Boiled potatoes",58589,0.25,30013,58589,"","","29.5x23.5cm folded; 29.5x47cm open","","1948-03-02T00:00:00Z",""
"4820",219,"Boiled potatoes",58616,0.15,30020,58616,"","","27x11.5cm folded; 27x35cm open","","1948-03-08T00:00:00Z",""
"4821",219,"Boiled potatoes",58671,0.15,30032,58671,"","","29x22cm folded; 29x43.5cm open","","1948-06-15T00:00:00Z",""
"4822",219,"Boiled potatoes",58692,NA,30043,58692,"","","25.5x18cm ","","1948-08-10T00:00:00Z",""
"4823",219,"Boiled potatoes",58694,NA,30045,58694,"","","25.5x18cm ","","1948-08-14T00:00:00Z",""
"4824",219,"Boiled potatoes",58737,0.2,30058,58737,"","","25x16.5cm folded; 25x32.5cm open","Railroad dining car menu","1943-01-01T00:00:00Z",""
"4825",219,"Boiled potatoes",5880,NA,14363,5880,"MENUS FOR SPECIAL TRAIN TO EPISCOPAL CONVENTION IN SAN FRANCISCO, OCT. 2, 1901","ABOARD TRAIN EN ROUTE, MINNEAPOLIS TO SAN FRANCISCO","BOOKLET; ILLUS; 4.5X6;","INCLUDES MENUS (BREAKFAST, LUNCH & DINNER), TABLE D'HOTE, $1.OO EACH, FOR 3 DAYS EN ROUTE; INCLUDES PHOTOGRAPHS OF NATURAL SITES EN ROUTE; INCLUDES PRICED WINE LIST, ITINERARY, LIST OF PUBLICATIONS, REPRESENTATIVES FOR THE 500 LINE; SILK THREAD ATTACHMENT","1901-09-23T00:00:00Z","AR"
"4826",219,"Boiled potatoes",58838,0.15,30081,58838,"","","33x23cm folded; 33x46cm open","","1943-04-22T00:00:00Z",""
"4827",219,"Boiled potatoes",5888,NA,14363,5888,"MENUS FOR SPECIAL TRAIN TO EPISCOPAL CONVENTION IN SAN FRANCISCO, OCT. 2, 1901","ABOARD TRAIN EN ROUTE, MINNEAPOLIS TO SAN FRANCISCO","BOOKLET; ILLUS; 4.5X6;","INCLUDES MENUS (BREAKFAST, LUNCH & DINNER), TABLE D'HOTE, $1.OO EACH, FOR 3 DAYS EN ROUTE; INCLUDES PHOTOGRAPHS OF NATURAL SITES EN ROUTE; INCLUDES PRICED WINE LIST, ITINERARY, LIST OF PUBLICATIONS, REPRESENTATIVES FOR THE 500 LINE; SILK THREAD ATTACHMENT","1901-09-23T00:00:00Z","AR"
"4828",219,"Boiled potatoes",58972,0.15,30119,58972,"","","33x23cm folded; 33x46cm open","","1943-11-18T00:00:00Z",""
"4829",219,"Boiled potatoes",58976,NA,30120,58976,"","","28x20cm folded; 28x40cm open","","1943-06-02T00:00:00Z",""
"4830",219,"Boiled potatoes",58991,0.15,30125,58991,"","","33x23cm folded; 33x46cm open","","1943-12-10T00:00:00Z",""
"4831",219,"Boiled potatoes",58996,NA,30127,58996,"","","28.5x18cm folded; 28.5x35.5cm open","","1943-12-30T00:00:00Z",""
"4832",219,"Boiled potatoes",58999,0.3,30128,58999,"","","30x20.5cm folded; 30x40.5cm open","Room service menu","1943-12-20T00:00:00Z",""
"4833",219,"Boiled potatoes",59129,NA,30158,59129,"","","29x18cm","New York World's Fair","1939-05-22T00:00:00Z",""
"4834",219,"Boiled potatoes",59171,0.15,30168,59171,"","","33.5x22cm","","1939-05-26T00:00:00Z",""
"4835",219,"Boiled potatoes",59250,0.2,30178,59250,"","","32.5x22cm folded; 32.5x44cm open","","1939-06-01T00:00:00Z",""
"4836",219,"Boiled potatoes",59280,NA,30191,59280,"","","30.5x21.5cm folded; 30.5x43cm open","","1939-06-16T00:00:00Z",""
"4837",219,"Boiled potatoes",59312,0.2,30199,59312,"","","28x22cm folded; 28x44cm open","","1939-07-03T00:00:00Z",""
"4838",219,"Boiled potatoes",59318,NA,30201,59318,"","","24x16.5cm folded; 24x33cm open","","1939-07-26T00:00:00Z",""
"4839",219,"Boiled potatoes",59322,NA,30202,59322,"","","24x16.5cm folded; 24x33cm open","","1939-07-26T00:00:00Z",""
"4840",219,"Boiled potatoes",59326,NA,30203,59326,"","","24x16.5cm folded; 24x33cm open","","1939-07-30T00:00:00Z",""
